Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
76,15,3,27,0,Some Random Commen with Id 76
77,15,3,121,9,Some Random Commen with Id 77
78,15,3,17,0,Some Random Commen with Id 78
79,16,1,129,7,Some Random Commen with Id 79
80,16,1,91,5,Some Random Commen with Id 80
81,16,1,120,6,Some Random Commen with Id 81
82,16,1,3,6,Some Random Commen with Id 82
83,17,7,49,2,Some Random Commen with Id 83
84,17,7,149,9,Some Random Commen with Id 84
85,17,7,52,3,Some Random Commen with Id 85
86,18,3,39,6,Some Random Commen with Id 86
87,18,3,172,7,Some Random Commen with Id 87
88,18,3,16,8,Some Random Commen with Id 88
89,18,3,93,9,Some Random Commen with Id 89
90,18,3,142,3,Some Random Commen with Id 90
91,18,3,21,1,Some Random Commen with Id 91
92,18,3,40,0,Some Random Commen with Id 92
93,18,3,90,2,Some Random Commen with Id 93
94,18,3,193,0,Some Random Commen with Id 94
95,19,8,55,5,Some Random Commen with Id 95
96,19,8,134,1,Some Random Commen with Id 96
97,19,8,170,9,Some Random Commen with Id 97
98,20,8,98,3,Some Random Commen with Id 98
99,21,3,97,8,Some Random Commen with Id 99
100,21,3,48,5,Some Random Commen with Id 100
101,21,3,7,0,Some Random Commen with Id 101
102,21,3,12,6,Some Random Commen with Id 102
103,21,3,61,4,Some Random Commen with Id 103
104,21,3,112,0,Some Random Commen with Id 104
105,22,9,114,4,Some Random Commen with Id 105
106,22,9,72,2,Some Random Commen with Id 106
107,22,9,64,2,Some Random Commen with Id 107
108,22,9,161,6,Some Random Commen with Id 108
109,22,9,89,1,Some Random Commen with Id 109
110,22,9,6,7,Some Random Commen with Id 110
111,22,9,106,1,Some Random Commen with Id 111
112,23,8,69,9,Some Random Commen with Id 112
113,23,8,22,4,Some Random Commen with Id 113
114,23,8,196,8,Some Random Commen with Id 114
115,23,8,46,8,Some Random Commen with Id 115
116,23,8,11,4,Some Random Commen with Id 116
117,24,9,163,2,Some Random Commen with Id 117
118,24,9,194,0,Some Random Commen with Id 118
119,24,9,59,2,Some Random Commen with Id 119
120,24,9,156,2,Some Random Commen with Id 120
121,24,9,185,1,Some Random Commen with Id 121
122,25,6,151,7,Some Random Commen with Id 122
123,25,6,176,7,Some Random Commen with Id 123
124,25,6,0,8,Some Random Commen with Id 124
125,25,6,149,3,Some Random Commen with Id 125
126,26,3,146,9,Some Random Commen with Id 126
127,27,4,96,0,Some Random Commen with Id 127
128,27,4,128,5,Some Random Commen with Id 128
129,27,4,66,1,Some Random Commen with Id 129
130,27,4,37,1,Some Random Commen with Id 130
131,27,4,136,9,Some Random Commen with Id 131
132,27,4,131,9,Some Random Commen with Id 132
133,30,3,99,2,Some Random Commen with Id 133
134,30,3,156,3,Some Random Commen with Id 134
135,30,3,70,0,Some Random Commen with Id 135
136,30,3,107,8,Some Random Commen with Id 136
137,30,3,37,9,Some Random Commen with Id 137
138,30,3,90,8,Some Random Commen with Id 138
139,32,5,13,1,Some Random Commen with Id 139
140,32,5,193,5,Some Random Commen with Id 140
141,32,5,120,1,Some Random Commen with Id 141
142,32,5,63,9,Some Random Commen with Id 142
143,33,2,20,7,Some Random Commen with Id 143
144,33,2,100,2,Some Random Commen with Id 144
145,34,3,147,9,Some Random Commen with Id 145
146,34,3,111,9,Some Random Commen with Id 146
147,34,3,111,7,Some Random Commen with Id 147
148,34,3,68,1,Some Random Commen with Id 148
149,35,9,32,5,Some Random Commen with Id 149
150,35,9,43,4,Some Random Commen with Id 150
151,35,9,105,1,Some Random Commen with Id 151
152,35,9,152,2,Some Random Commen with Id 152
153,35,9,64,2,Some Random Commen with Id 153
154,37,5,132,0,Some Random Commen with Id 154
155,37,5,160,6,Some Random Commen with Id 155
156,37,5,158,3,Some Random Commen with Id 156
157,37,5,180,6,Some Random Commen with Id 157
158,37,5,146,2,Some Random Commen with Id 158
159,37,5,164,7,Some Random Commen with Id 159
160,37,5,23,2,Some Random Commen with Id 160
161,38,3,93,4,Some Random Commen with Id 161
162,38,3,163,7,Some Random Commen with Id 162
163,38,3,73,9,Some Random Commen with Id 163
164,38,3,55,7,Some Random Commen with Id 164
165,38,3,52,1,Some Random Commen with Id 165
166,38,3,100,0,Some Random Commen with Id 166
167,38,3,170,3,Some Random Commen with Id 167
168,38,3,47,6,Some Random Commen with Id 168
169,38,3,77,5,Some Random Commen with Id 169
170,39,7,82,4,Some Random Commen with Id 170
171,39,7,144,0,Some Random Commen with Id 171
172,39,7,99,6,Some Random Commen with Id 172
173,39,7,47,4,Some Random Commen with Id 173
174,39,7,4,1,Some Random Commen with Id 174
